Palabra en Inglés,Categoría Gramatical,Traducción
Ubiquitous,Adjetivos (Adjectives),Omnipresente
Ephemeral,Adjetivos (Adjectives),Efímero
Obsolete,Adjetivos (Adjectives),Obsoleto
Pragmatic,Adjetivos (Adjectives),Pragmático
Ambiguous,Adjetivos (Adjectives),Ambiguo
Meticulous,Adjetivos (Adjectives),Meticuloso
Resilient,Adjetivos (Adjectives),Resiliente
Tangible,Adjetivos (Adjectives),Tangible
Feasible,Adjetivos (Adjectives),Factible / Viable
Plausible,Adjetivos (Adjectives),Plausible / Creíble
Intricate,Adjetivos (Adjectives),Intrincado / Complejo
Profound,Adjetivos (Adjectives),Profundo
Lucrative,Adjetivos (Adjectives),Lucrativo
Detrimental,Adjetivos (Adjectives),Perjudicial
Pivotal,Adjetivos (Adjectives),Crucial / Fundamental
Superfluous,Adjetivos (Adjectives),Superfluo / Innecesario
Inevitable,Adjetivos (Adjectives),Inevitable
Subtle,Adjetivos (Adjectives),Sutil
Cohesive,Adjetivos (Adjectives),Cohesivo
Elusive,Adjetivos (Adjectives),Elusivo / Evasivo
Mitigate,Verbos (Verbs),Mitigar / Atenuar
Implement,Verbos (Verbs),Implementar
Facilitate,Verbos (Verbs),Facilitar
Ascertain,Verbos (Verbs),Averiguar / Constatar
Deteriorate,Verbos (Verbs),Deteriorarse
Alleviate,Verbos (Verbs),Aliviar
Exacerbate,Verbos (Verbs),Exacerbar / Agravar
Scrutinize,Verbos (Verbs),Escrutar / Examinar
Elicit,Verbos (Verbs),Suscitar / Extraer (información)
Foster,Verbos (Verbs),Fomentar / Promover
Hinder,Verbos (Verbs),Obstaculizar / Entorpecer
Bolster,Verbos (Verbs),Reforzar / Respaldar
Delineate,Verbos (Verbs),Delinear / Describir
Corroborate,Verbos (Verbs),Corroborar
Reiterate,Verbos (Verbs),Reiterar
Pioneer,Verbos (Verbs),Ser pionero en / Iniciar
Disseminate,Verbos (Verbs),Diseminar / Difundir
Appease,Verbos (Verbs),Apaciguar
Endeavor,Verbos (Verbs),Esforzarse / Emprender
Pertain,Verbos (Verbs),Corresponder / Pertenecer
Bring about,Phrasal Verbs (Avanzados),Provocar / Causar
Carry out,Phrasal Verbs (Avanzados),Llevar a cabo
Come across,Phrasal Verbs (Avanzados),Toparse con / Dar la impresión
Draw up,Phrasal Verbs (Avanzados),Redactar (un documento)
Fall through,Phrasal Verbs (Avanzados),Fracasar / Quedar en nada
Look into,Phrasal Verbs (Avanzados),Investigar
